会社名称,路線名称,どこからどこまで,行き方面,帰り方面,バス停名称,url,緯度,経度
都バス２３区,上０１,東大構内～上野松坂屋前,東大構内方面,東大構内方面,東大構内,https://mb.jorudan.co.jp//os/bus/1301/stop/41502.html,35.71318833333333,139.7640986111111
都バス２３区,上０１,東大構内～上野松坂屋前,東大構内方面,東大構内方面,東大病院前,https://mb.jorudan.co.jp//os/bus/1301/stop/41502.html,35.71318833333333,139.7640986111111
都バス２３区,上０１,東大構内～上野松坂屋前,東大構内方面,東大構内方面,竜岡門,https://mb.jorudan.co.jp//os/bus/1301/stop/41502.html,35.71318833333333,139.7640986111111
都バス２３区,上０１,東大構内～上野松坂屋前,東大構内方面,東大構内方面,湯島四丁目,https://mb.jorudan.co.jp//os/bus/1301/stop/41502.html,35.71318833333333,139.7640986111111
都バス２３区,上０１,東大構内～上野松坂屋前,東大構内方面,東大構内方面,湯島三丁目,https://mb.jorudan.co.jp//os/bus/1301/stop/41502.html,35.71318833333333,139.7640986111111
都バス２３区,上０１,東大構内～上野松坂屋前,東大構内方面,東大構内方面,上野広小路,https://mb.jorudan.co.jp//os/bus/1301/stop/41502.html,35.71318833333333,139.7640986111111
都バス２３区,上０１,東大構内～上野松坂屋前,東大構内方面,東大構内方面,上野公園山下,https://mb.jorudan.co.jp//os/bus/1301/stop/41502.html,35.71318833333333,139.7640986111111
都バス２３区,上０１,東大構内～上野松坂屋前,東大構内方面,東大構内方面,上野松坂屋前,https://mb.jorudan.co.jp//os/bus/1301/stop/41502.html,35.71318833333333,139.7640986111111
都バス２３区,上０１,東大構内～上野松坂屋前,東大構内方面,東大構内方面,上野広小路,https://mb.jorudan.co.jp//os/bus/1301/stop/41502.html,35.71318833333333,139.7640986111111
都バス２３区,上０１,東大構内～上野松坂屋前,東大構内方面,東大構内方面,湯島三丁目,https://mb.jorudan.co.jp//os/bus/1301/stop/41502.html,35.71318833333333,139.7640986111111
都バス２３区,上０１,東大構内～上野松坂屋前,東大構内方面,東大構内方面,竜岡門,https://mb.jorudan.co.jp//os/bus/1301/stop/41502.html,35.71318833333333,139.7640986111111
都バス２３区,上０１,東大構内～上野松坂屋前,東大構内方面,東大構内方面,東大病院前,https://mb.jorudan.co.jp//os/bus/1301/stop/41502.html,35.71318833333333,139.7640986111111
都バス２３区,上０１,東大構内～上野松坂屋前,東大構内方面,東大構内方面,東大構内,https://mb.jorudan.co.jp//os/bus/1301/stop/41502.html,35.71318833333333,139.7640986111111
都バス２３区,上２３,平井駅前～上野松坂屋前,上野松坂屋前方面,平井駅前方面,平井駅前,https://mb.jorudan.co.jp//os/bus/1301/stop/41426.html,35.70698944444444,139.77256722222222
都バス２３区,上２３,平井駅前～上野松坂屋前,上野松坂屋前方面,平井駅前方面,平井小学校前,https://mb.jorudan.co.jp//os/bus/1301/stop/41426.html,35.70698944444444,139.77256722222222
都バス２３区,上２３,平井駅前～上野松坂屋前,上野松坂屋前方面,平井駅前方面,平井六丁目交番前,https://mb.jorudan.co.jp//os/bus/1301/stop/41426.html,35.70698944444444,139.77256722222222
都バス２３区,上２３,平井駅前～上野松坂屋前,上野松坂屋前方面,平井駅前方面,平井七丁目,https://mb.jorudan.co.jp//os/bus/1301/stop/41426.html,35.70698944444444,139.77256722222222
都バス２３区,上２３,平井駅前～上野松坂屋前,上野松坂屋前方面,平井駅前方面,平井七丁目北公園前,https://mb.jorudan.co.jp//os/bus/1301/stop/41426.html,35.70698944444444,139.77256722222222
都バス２３区,上２３,平井駅前～上野松坂屋前,上野松坂屋前方面,平井駅前方面,平井七丁目第三アパート前,https://mb.jorudan.co.jp//os/bus/1301/stop/41426.html,35.70698944444444,139.77256722222222
都バス２３区,上２３,平井駅前～上野松坂屋前,上野松坂屋前方面,平井駅前方面,東墨田一丁目,https://mb.jorudan.co.jp//os/bus/1301/stop/41426.html,35.70698944444444,139.77256722222222
都バス２３区,上２３,平井駅前～上野松坂屋前,上野松坂屋前方面,平井駅前方面,東墨田三丁目,https://mb.jorudan.co.jp//os/bus/1301/stop/41426.html,35.70698944444444,139.77256722222222
都バス２３区,上２３,平井駅前～上野松坂屋前,上野松坂屋前方面,平井駅前方面,東墨田会館前,https://mb.jorudan.co.jp//os/bus/1301/stop/41426.html,35.70698944444444,139.77256722222222
都バス２３区,上２３,平井駅前～上野松坂屋前,上野松坂屋前方面,平井駅前方面,東墨田二丁目,https://mb.jorudan.co.jp//os/bus/1301/stop/41426.html,35.70698944444444,139.77256722222222
都バス２３区,上２３,平井駅前～上野松坂屋前,上野松坂屋前方面,平井駅前方面,社会福祉会館前,https://mb.jorudan.co.jp//os/bus/1301/stop/41426.html,35.70698944444444,139.77256722222222
都バス２３区,上２３,平井駅前～上野松坂屋前,上野松坂屋前方面,平井駅前方面,八広二丁目,https://mb.jorudan.co.jp//os/bus/1301/stop/41426.html,35.70698944444444,139.77256722222222
都バス２３区,上２３,平井駅前～上野松坂屋前,上野松坂屋前方面,平井駅前方面,中居堀,https://mb.jorudan.co.jp//os/bus/1301/stop/41426.html,35.70698944444444,139.77256722222222
都バス２３区,上２３,平井駅前～上野松坂屋前,上野松坂屋前方面,平井駅前方面,文花三丁目,https://mb.jorudan.co.jp//os/bus/1301/stop/41426.html,35.70698944444444,139.77256722222222
都バス２３区,上２３,平井駅前～上野松坂屋前,上野松坂屋前方面,平井駅前方面,十間橋通り,https://mb.jorudan.co.jp//os/bus/1301/stop/41426.html,35.70698944444444,139.77256722222222
都バス２３区,上２３,平井駅前～上野松坂屋前,上野松坂屋前方面,平井駅前方面,十間橋,https://mb.jorudan.co.jp//os/bus/1301/stop/41426.html,35.70698944444444,139.77256722222222
都バス２３区,上２３,平井駅前～上野松坂屋前,上野松坂屋前方面,平井駅前方面,押上,https://mb.jorudan.co.jp//os/bus/1301/stop/41426.html,35.70698944444444,139.77256722222222
都バス２３区,上２３,平井駅前～上野松坂屋前,上野松坂屋前方面,平井駅前方面,とうきょうスカイツリー駅入口,https://mb.jorudan.co.jp//os/bus/1301/stop/41426.html,35.70698944444444,139.77256722222222
都バス２３区,上２３,平井駅前～上野松坂屋前,上野松坂屋前方面,平井駅前方面,本所吾妻橋,https://mb.jorudan.co.jp//os/bus/1301/stop/41426.html,35.70698944444444,139.77256722222222
都バス２３区,上２３,平井駅前～上野松坂屋前,上野松坂屋前方面,平井駅前方面,墨田区役所前,https://mb.jorudan.co.jp//os/bus/1301/stop/41426.html,35.70698944444444,139.77256722222222
都バス２３区,上２３,平井駅前～上野松坂屋前,上野松坂屋前方面,平井駅前方面,浅草雷門,https://mb.jorudan.co.jp//os/bus/1301/stop/41426.html,35.70698944444444,139.77256722222222
都バス２３区,上２３,平井駅前～上野松坂屋前,上野松坂屋前方面,平井駅前方面,浅草一丁目,https://mb.jorudan.co.jp//os/bus/1301/stop/41426.html,35.70698944444444,139.77256722222222
都バス２３区,上２３,平井駅前～上野松坂屋前,上野松坂屋前方面,平井駅前方面,浅草寿町,https://mb.jorudan.co.jp//os/bus/1301/stop/41426.html,35.70698944444444,139.77256722222222
都バス２３区,上２３,平井駅前～上野松坂屋前,上野松坂屋前方面,平井駅前方面,菊屋橋,https://mb.jorudan.co.jp//os/bus/1301/stop/41426.html,35.70698944444444,139.77256722222222
都バス２３区,上２３,平井駅前～上野松坂屋前,上野松坂屋前方面,平井駅前方面,東上野六丁目,https://mb.jorudan.co.jp//os/bus/1301/stop/41426.html,35.70698944444444,139.77256722222222
都バス２３区,上２３,平井駅前～上野松坂屋前,上野松坂屋前方面,平井駅前方面,下谷神社前,https://mb.jorudan.co.jp//os/bus/1301/stop/41426.html,35.70698944444444,139.77256722222222
都バス２３区,上２３,平井駅前～上野松坂屋前,上野松坂屋前方面,平井駅前方面,上野駅前,https://mb.jorudan.co.jp//os/bus/1301/stop/41426.html,35.70698944444444,139.77256722222222
都バス２３区,上２３,平井駅前～上野松坂屋前,上野松坂屋前方面,平井駅前方面,上野公園山下,https://mb.jorudan.co.jp//os/bus/1301/stop/41426.html,35.70698944444444,139.77256722222222
都バス２３区,上２３,平井駅前～上野松坂屋前,上野松坂屋前方面,平井駅前方面,上野松坂屋前,https://mb.jorudan.co.jp//os/bus/1301/stop/41426.html,35.70698944444444,139.77256722222222
都バス２３区,上２３,平井駅前～上野松坂屋前,平井駅前方面,上野松坂屋前方面,平井駅前,https://mb.jorudan.co.jp//os/bus/1301/stop/41426.html,35.70698944444444,139.77256722222222
都バス２３区,上２３,平井駅前～上野松坂屋前,平井駅前方面,上野松坂屋前方面,平井小学校前,https://mb.jorudan.co.jp//os/bus/1301/stop/41426.html,35.70698944444444,139.77256722222222
都バス２３区,上２３,平井駅前～上野松坂屋前,平井駅前方面,上野松坂屋前方面,平井六丁目交番前,https://mb.jorudan.co.jp//os/bus/1301/stop/41426.html,35.70698944444444,139.77256722222222
都バス２３区,上２３,平井駅前～上野松坂屋前,平井駅前方面,上野松坂屋前方面,平井七丁目,https://mb.jorudan.co.jp//os/bus/1301/stop/41426.html,35.70698944444444,139.77256722222222
都バス２３区,上２３,平井駅前～上野松坂屋前,平井駅前方面,上野松坂屋前方面,平井七丁目北公園前,https://mb.jorudan.co.jp//os/bus/1301/stop/41426.html,35.70698944444444,139.77256722222222
都バス２３区,上２３,平井駅前～上野松坂屋前,平井駅前方面,上野松坂屋前方面,中平井,https://mb.jorudan.co.jp//os/bus/1301/stop/41426.html,35.70698944444444,139.77256722222222
都バス２３区,上２３,平井駅前～上野松坂屋前,平井駅前方面,上野松坂屋前方面,平井七丁目第三アパート前,https://mb.jorudan.co.jp//os/bus/1301/stop/41426.html,35.70698944444444,139.77256722222222
都バス２３区,上２３,平井駅前～上野松坂屋前,平井駅前方面,上野松坂屋前方面,東墨田一丁目,https://mb.jorudan.co.jp//os/bus/1301/stop/41426.html,35.70698944444444,139.77256722222222
都バス２３区,上２３,平井駅前～上野松坂屋前,平井駅前方面,上野松坂屋前方面,東墨田三丁目,https://mb.jorudan.co.jp//os/bus/1301/stop/41426.html,35.70698944444444,139.77256722222222
都バス２３区,上２３,平井駅前～上野松坂屋前,平井駅前方面,上野松坂屋前方面,東墨田会館前,https://mb.jorudan.co.jp//os/bus/1301/stop/41426.html,35.70698944444444,139.77256722222222
都バス２３区,上２３,平井駅前～上野松坂屋前,平井駅前方面,上野松坂屋前方面,東墨田二丁目,https://mb.jorudan.co.jp//os/bus/1301/stop/41426.html,35.70698944444444,139.77256722222222
