変更後バス停名称,緯度,経度
Hareza池袋東,35.732085,139.71657
JMTダイナベース,35.586914,139.747104
JMT京浜トラックターミナル,35.586861,139.744057
JR王子駅,35.754527,139.736794
JR田端駅,35.738261,139.759644
NHK技研前,35.635202,139.615835
NTT江戸川支店前,35.710472,139.873969
NTT江戸川支店前,35.710472,139.873969
アーツ千代田3331,35.703992,139.771665
あかつき公園,35.666735,139.775626
アカデミー音羽,35.719889,139.725754
アクロスあらかわ,35.740639,139.783325
アクアステージ入口,35.755981,139.758914
アクロシティ,35.740608,139.79038
アクロシティ,35.740608,139.79038
いかづち公園前,35.785145,139.783566
いかづち公園前,35.785145,139.783566
いすゞ病院前,35.589163,139.732685
ウテナ前,35.668064,139.608634
ウテナ前,35.668064,139.608634
エル・ソフィア前,35.771108,139.797576
エル・ソフィア前,35.771108,139.797576
オペラ通り,35.682256,139.684992
オリンピック下丸子店前,35.57089,139.681389
ガス橋二十一世紀桜,35.564491,139.684096
かんだ連雀,35.696604,139.768511
キャナルコート2街区前,35.646469,139.80458
キャナルコート4街区前,35.647859,139.804396
キヤノン本社通用門前,35.567563,139.683569
クイーンズ伊勢丹小石川店前,35.71461,139.751906
くすのきカルチャーセンター前,35.67293,139.861951
くすのきカルチャーセンター前,35.67293,139.861951
グリーンハイム荒川,35.73874,139.791214
グリーンハイム荒川,35.73874,139.791214
ケアコミュニティ・せせらぎ,35.675499,139.681564
けんちの苑,35.730678,139.801495
けんちの苑,35.730678,139.801495
コツ通り,35.735035,139.797251
コツ通り,35.735035,139.797251
こんにゃくえんま,35.711387,139.751669
さかえ児童遊園,35.776592,139.862007
さくら会前,35.59451,139.734343
さくら公園入口,35.707017,139.890238
さくら公園入口,35.707017,139.890238
サミットストア湯島天神南店,35.705916,139.767649
サレジオ教会,35.620042,139.686977
サレジオ教会,35.61958966,139.6869168
サンシャインシティ南,35.727677,139.720044
しながわ区民公園,35.596498,139.739937
しながわ区民公園,35.596498,139.739937
シニアセンター,35.669043,139.785249
しゃくやく公園前,35.704611,139.894339
しゃくやく公園前,35.704611,139.894339
シャシー整理場前,35.628617,139.832516
シャシー整理場前,35.628617,139.832516
シャレール荻窪入口,35.696269,139.625093
シンボルプロムナード公園前,35.620527,139.776997
シルバープラザ梅若,35.729396,139.815476
ジロール麹町入口,35.685851,139.741756
すいすいらんど綾瀬,35.770862,139.831514
すいすいらんど綾瀬,35.770862,139.831514
すきっぷ前,35.657349,139.625788
すみだスポーツ健康センター入口,35.715133,139.830797
すみだトリフォニーホール入口,35.697519,139.808762
すみだ女性センター,35.712898,139.81196
すみだ北斎美術館前,35.696994,139.80062
セイコーミュージアム前・法泉寺入口,35.726792,139.813087
ゼームス坂上,35.608563,139.73764
タワーホームズ前,35.705291,139.700189
タワーホームズ前,35.705291,139.700189
ちよだプラットフォームスクウェア入口,35.692346,139.760893
つくばエクスプレス浅草駅,35.713349,139.792519
つばめの里・本町東,35.687677,139.681495
つりがね池公園,35.652885,139.604845
テクノプラザかつしか,35.752163,139.851993
テクノプラザかつしか,35.752163,139.851993
ときわ橋,35.675265,139.592539
ときわ橋,35.675265,139.592539
ときわ台駅入口,35.756151,139.686157
ときわ台駅入口,35.756151,139.686157
トッパンホール・印刷博物館,35.70974,139.74336
にいじゅくみらい公園,35.772817,139.862953
にいじゅくみらい公園,35.772817,139.862953
にいじゅくみらい公園南,35.770262,139.862558
にいじゅくみらい公園南,35.770262,139.862558
パークハイアット東京前,35.686428,139.690118
パークウェイ入口,35.590823,139.663923
パークウェイ入口,35.590823,139.663923
はぁとぴあ原宿入口,35.672531,139.710721
はぁとぴあ原宿入口,35.672531,139.710721
ハイアットリージェンシー東京前,35.691303,139.691758
はちまん橋,35.599048,139.654599
はつらつセンター富ヶ谷,35.664144,139.685095
はなしょうぶ園,35.78189,139.869835
はやいち公園,35.753208,139.656614
びくに公園入口,35.755469,139.596027
ひまわり荘,35.632872,139.625995
ヒルサイドテラス,35.648507,139.700211
プラザ神明,35.658547,139.75774
フラワーロード,35.800314,139.806633
ふれあいの家,35.783067,139.860332
ふれあいの家,35.783067,139.860332
ふれあい遊歩道,35.648514,139.608287
プロムナード荻窪,35.712036,139.605472
まないた橋,35.696201,139.752947
マイホーム新川,35.673553,139.783117
ミーツポート,35.703742,139.754808
みなとっぷ21,35.682615,139.66183
みどりコミュニティセンター,35.692868,139.803023
みつわ通り,35.718243,139.645068
もみじ山通り,35.709099,139.67357
もみじ山通り,35.709099,139.67357
やっちゃば緑道,35.741229,139.801186
もみじ山,35.767092,139.601834
もみじ山,35.767092,139.601834
やのはし,35.622236,139.621246
やのはし,35.622236,139.621246
ゆいの森あらかわ,35.739542,139.784269
ゆうあいの郷・扇,35.767316,139.774593
ゆうあいの郷・扇,35.767316,139.774593
リサイクルセンター入口,35.736554,139.660128
リハポート明石,35.669115,139.776956
りんかい線天王洲アイル駅前,35.62002,139.750915
リブレ京成前,35.785469,139.859361
リブレ京成前,35.785469,139.859361
ロイヤル病院前,35.670185,139.627852
ワテラス前,35.697319,139.768278
愛育クリニック前,35.654064,139.72659
愛育クリニック前,35.65368842,139.7260341
阿弥陀橋,35.774682,139.772744
阿弥陀橋,35.774682,139.772744
阿佐ヶ谷南一丁目,35.701416,139.636106
阿佐ヶ谷南一丁目,35.701416,139.636106
愛宕一丁目,35.666359,139.749072
愛宕一丁目,35.666359,139.749072
愛宕警察署,35.661082,139.753141
愛宕警察署,35.661082,139.753141
愛宕山下,35.664931,139.749732
愛宕山下,35.664931,139.749732
旭町都営住宅前,35.771748,139.630907
旭町都営住宅前,35.771748,139.630907
旭町二丁目,35.770074,139.627148
旭町二丁目,35.770074,139.627148
阿佐ヶ谷住宅南,35.695637,139.63288
阿佐ヶ谷住宅南,35.695637,139.63288
阿佐ヶ谷住宅東,35.695613,139.633856
阿佐ヶ谷住宅東,35.695613,139.633856
旭橋,35.671082,139.625726
綾瀬小学校東,35.763377,139.830278
芦花パークゴルフ練習場,35.66646,139.608153
芦花パークゴルフ練習場,35.66646,139.608153
芦花公園駅前,35.671245,139.609057
芦花公園駅前,35.671245,139.609057
愛育クリニック,35.653723,139.726106
綾瀬二丁目,35.758646,139.828795
綾瀬二丁目,35.758646,139.828795
鞍橋,35.652759,139.600336
伊興地域学習センター東,35.791103,139.782949
伊興地域学習センター東,35.79233058,139.7829102
伊興三丁目,35.794338,139.782909
伊興三丁目,35.794338,139.782909
伊興小学校前,35.795171,139.780911
伊興小学校前,35.795171,139.780911
一口坂手前,35.693228,139.740664
一ツ橋,35.692411,139.758997
一丁目南,35.775527,139.857196
一丁目広場,35.702622,139.897928
一丁目広場,35.702622,139.897928
一丁目北,35.776269,139.855917
一之江駅環七口,35.685893,139.882575
一之江駅環七口,35.685893,139.882575
一番町交差点,35.687504,139.742046
一之江七丁目,35.687251,139.877148
一之江七丁目,35.687251,139.877148
蛎殻町一丁目水天宮前駅,35.682863,139.785169
蛎殻町二丁目,35.682181,139.786432
三原橋,35.670067,139.765696
采女橋,35.667884,139.767142
九段北一丁目,35.697831,139.750535
麹町出張所,35.685764,139.739983
五味坂交番,35.688572,139.74248
九段さくら館,35.692659,139.74384
給田郵便局,35.666216,139.591352
給田郵便局,35.666216,139.591352
給田二丁目,35.66495,139.596205
給田二丁目,35.66495,139.596205
外神田六丁目,35.704437,139.769938
御茶ノ水駅,35.70041,139.764203
宇奈根,35.621913,139.606513
喜多見中学校,35.625131,139.594806
喜多見中学校,35.625131,139.594806
宇佐美本郷ビル前,35.70467,139.760113
月島区民センター,35.662436,139.782736
月島スポーツプラザ,35.665262,139.783104
御徒町,35.707484,139.778626
永寿総合病院,35.710021,139.778607
菊坂通り,35.708312,139.759695
三筋老人福祉館東,35.705722,139.787909
慈恵医大葛飾医療センター,35.75212954,139.8584174
後楽一丁目,35.70345,139.74859
京成青砥駅・ユアエルム青戸,35.746216,139.856463
隅田川駅,35.730301,139.800186
隅田川駅,35.730301,139.800186
共同印刷,35.716574,139.746197
駒込病院,35.730637,139.756921
荒川総合スポーツセンター,35.735453,139.791147
荒川総合スポーツセンター,35.735453,139.791147
荒川自然公園入口,35.743458,139.785058
荒川自然公園入口,35.743458,139.785058
花の木,35.741249,139.780372
子ども家庭支援センター,35.7393,139.778258
子ども家庭支援センター,35.73968247,139.7780874
荒川中央通り,35.737589,139.781757
汐入小学校,35.735394,139.80668
汐入小学校,35.735394,139.80668
亀戸香取神社,35.704132,139.82561
亀戸香取神社,35.704132,139.82561
亀沢三丁目,35.697147,139.803235
下町人情キラキラ橘商店街入口,35.712639,139.823504
吾嬬神社入口,35.707682,139.827683
一葉記念館,35.726278,139.790724
三筋児童遊園,35.704537,139.788126
国技館・水上バス乗り場,35.697643,139.792766
江島杉山神社入口,35.692672,139.791881
元徳稲荷神社入口,35.690577,139.803168
賛育会病院,35.702714,139.814095
丸山車庫,35.723929,139.669521
後楽二丁目,35.707406,139.745785
曳舟駅南,35.715494,139.814803
曳舟文化センター,35.718573,139.818371
関口二丁目,35.712038,139.729678
久我山三丁目,35.686477,139.593959
久我山三丁目,35.686477,139.593959
隅田稲荷神社入口,35.729707,139.823743
江戸川公園,35.710921,139.731269
江戸川橋駅,35.709448,139.73313
見番通り入口,35.716465,139.808983
三輪里稲荷神社入口,35.721047,139.825921
曳舟小学校,35.715625,139.820763
隅田川神社・木母寺入口,35.732653,139.816091
榎本武揚像入口,35.734273,139.817743
歯科医師会館,35.727053,139.888281
歯科医師会館,35.727053,139.888281
菊地外科・胃腸科,35.716764,139.891995
菊地外科・胃腸科,35.716764,139.891995
鹿骨三丁目,35.711602,139.894109
鹿骨三丁目,35.711602,139.894109
高野駅,35.767867,139.770149
鹿本橋,35.713362,139.880497
鹿本橋,35.713362,139.880497
鹿骨二丁目,35.705226,139.896623
鹿骨二丁目,35.705226,139.896623
共育プラザ南篠崎,35.697886,139.899893
共育プラザ南篠崎,35.697886,139.899893
鹿骨一丁目公園,35.708503,139.887013
鹿骨一丁目公園,35.708503,139.887013
江戸川区役所,35.707334,139.868942
鹿骨区民館入口,35.708373,139.889299
鹿骨区民館入口,35.708373,139.889299
三軒茶屋銀座,35.646086,139.669911
三軒茶屋銀座,35.646086,139.669911
下鎌田東小学校,35.687439,139.900978
下鎌田東小学校,35.687439,139.900978
江戸川清掃工場,35.68522,139.903337
興本扇学園,35.772376,139.774617
興本扇学園,35.772376,139.774617
区立温水プール前,35.659317,139.617019
亀有四丁目,35.762904,139.840557
亀有四丁目,35.762904,139.840557
奥戸運動場,35.740192,139.862966
奥戸運動場,35.740192,139.862966
砧総合支所,35.641226,139.600298
砧図書館,35.642191,139.604184
駒沢陸橋,35.628874,139.673769
栗島小学校入口,35.776161,139.811176
栗島小学校入口,35.776161,139.811176
栗島中学校前,35.777179,139.809268
栗島中学校前,35.777179,139.809268
栗島住区センター,35.777334,139.805127
栗島住区センター,35.777334,139.805127
学童保育クラブ,35.777501,139.860538
三菱ガス化学東京テクノパーク,35.771441,139.860795
三菱ガス化学東京テクノパーク,35.771441,139.860795
金町営業所,35.761474,139.867305
亀有新道,35.754167,139.850575
亀有新道,35.754167,139.850575
護国寺駅,35.719549,139.727336
花見橋,35.691573,139.676771
花見橋,35.691573,139.676771
講談社前,35.718334,139.727943
葛飾区役所,35.742474,139.847953
三角広場,35.774898,139.863293
奥戸一丁目,35.731009,139.858615
奥戸一丁目,35.731009,139.858615
奥戸三丁目南,35.733352,139.860954
奥戸三丁目南,35.733352,139.860954
奥戸車庫,35.736692,139.854074
奥戸車庫,35.736692,139.854074
烏山総合支所前,35.670048,139.598203
烏山総合支所前,35.670048,139.598203
京成小岩駅入口,35.742274,139.882133
京成小岩駅入口,35.742274,139.882133
鎌倉町,35.744827,139.88106
鎌倉町,35.744827,139.88106
鎌倉小学校,35.747248,139.880043
鎌倉小学校,35.747248,139.880043
下井病院,35.76531,139.829114
下井病院,35.76531,139.829114
鹿本中学校,35.719473,139.877844
鹿本中学校,35.719473,139.877844
金町三丁目,35.766446,139.871353
金町三丁目,35.766446,139.871353
五反野駅入口,35.765073,139.808952
五反野駅入口,35.765073,139.808952
五反野駅交通広場,35.766246,139.808508
光が丘南入口,35.753746,139.621195
光が丘南入口,35.753746,139.621195
光が丘第二中学校,35.753763,139.625532
光が丘第二中学校,35.753763,139.625532
桜台駅通り,35.734956,139.659841
桜台駅通り,35.734956,139.659841
光丘高校,35.767276,139.625153
光丘高校,35.767276,139.625153
光が丘六丁目,35.760578,139.625282
光が丘六丁目,35.760578,139.625282
光が丘公園北,35.770072,139.628561
光が丘公園北,35.77036997,139.6297374
光が丘五丁目,35.763077,139.62721
光が丘五丁目,35.763077,139.62721
学園町八丁目東,35.772437,139.595736
学園町八丁目東,35.772437,139.595736
四面塔稲荷,35.761041,139.574061
四面塔稲荷,35.761041,139.574061
学園通り補助230号線,35.768662,139.587024
学園通り補助230号線,35.768662,139.587024
三田一丁目,35.654769,139.739825
山王病院前,35.669704,139.726949
光林寺,35.646899,139.727401
港南二丁目,35.625031,139.739812
港南二丁目,35.625031,139.739812
高輪四丁目,35.626465,139.737634
高輪四丁目,35.626465,139.737634
烏森神社,35.666217,139.756601
慈恵医大病院入口,35.663165,139.752636
慈恵医大病院入口,35.663165,139.752636
御成門中学校,35.661431,139.750321
御成門北,35.661881,139.748418
外苑前駅,35.670639,139.717832
外苑前駅,35.670639,139.717832
元赤坂一丁目,35.677989,139.732236
港南いきいきプラザ,35.629572,139.746819
港南いきいきプラザ,35.629572,139.746819
三田四丁目,35.643596,139.74024
三田四丁目,35.643596,139.74024
三田三丁目,35.647039,139.743614
三田三丁目,35.647039,139.743614
三宝寺池,35.73801,139.598719
三宝寺池,35.73801,139.598719
荻窪警察前,35.711675,139.607954
荻窪警察前,35.711675,139.607954
関町北小学校,35.733848,139.57666
関町北小学校,35.733848,139.57666
工学院大学前,35.691159,139.695552
丸山東橋,35.754559,139.576771
丸山東橋,35.754559,139.576771
丸山西橋,35.755811,139.570754
丸山西橋,35.755811,139.570754
関越富士見橋,35.764843,139.577643
関越西大泉橋,35.765225,139.579416
高松幼稚園西,35.76136,139.614724
憩いの森入口,35.760587,139.616887
高松六丁目,35.759699,139.619081
奥戸小学校,35.739124,139.864889
奥戸小学校,35.739124,139.864889
細田踏切,35.740241,139.869375
細田踏切,35.740241,139.869375
細田三丁目,35.74053,139.871157
細田三丁目,35.74053,139.871157
久保新田,35.763258,139.57156
久保新田,35.763258,139.57156
金連院入口,35.772622,139.875156
奥戸新橋,35.734225,139.868061
細田四丁目,35.740935,139.875056
細田四丁目,35.740935,139.875056
鎌倉一丁目,35.741249,139.879227
鎌倉一丁目,35.741249,139.879227
京成小岩駅西,35.741362,139.881933
下赤塚,35.769593,139.644917
下赤塚,35.769593,139.644917
宮城土手上,35.762405,139.758299
宮城土手上,35.762405,139.758299
久松町,35.688272,139.786361
岩本町駅前,35.695701,139.776423
原中学校入口,35.749572,139.780088
原中学校入口,35.749572,139.780088
高田一丁目,35.717395,139.71708
高田一丁目,35.717395,139.71708
山吹町,35.708734,139.731566
山吹町,35.708734,139.731566
榎町特別出張所前,35.70579,139.727248
榎町特別出張所前,35.70579,139.727248
牛込保健センター,35.703823,139.726789
牛込保健センター,35.703823,139.726789
牛込弁天町,35.702314,139.726753
牛込弁天町,35.702314,139.726753
市ヶ谷富久町,35.691171,139.717218
市ヶ谷富久町,35.691171,139.717218
花園町,35.691142,139.712867
花園町,35.691142,139.712867
鬼子母神前,35.718026,139.715743
鬼子母神前,35.718026,139.715743
光が丘秋の陽小学校,35.760838,139.634972
光が丘秋の陽小学校,35.760838,139.634972
桜川,35.76104,139.674467
桜川,35.76104,139.674467
宇喜田公園前,35.676095,139.859508
宇喜田公園前,35.676095,139.859508
区立自然動物園前,35.672765,139.857804
区立自然動物園前,35.672765,139.857804
江原町中野通り,35.729154,139.678026
岩淵町,35.782886,139.725313
岩淵町,35.782886,139.725313
志茂二丁目,35.781361,139.729399
志茂二丁目,35.781361,139.729399
志茂一丁目,35.778032,139.73265
志茂一丁目,35.778032,139.73265
高円寺駅入口,35.706741,139.65435
高円寺駅入口,35.706741,139.65435
環八若木二丁目,35.771277,139.671497
環八若木二丁目,35.771277,139.671497
海岸通り裏,35.638636,139.754436
桜台駅,35.738197,139.660818
恵比寿一丁目,35.646158,139.71309
恵比寿一丁目,35.646158,139.71309
恵比寿二丁目,35.645288,139.718939
恵比寿二丁目,35.645288,139.718939
三光坂下,35.643822,139.730702
三光坂下,35.643822,139.730702
虎ノ門三丁目,35.66526,139.746676
虎ノ門三丁目,35.66526,139.746676
銀座西六丁目,35.67104,139.761503
銀座西六丁目,35.67104,139.761503
健康プラザとしま,35.735366,139.714977
健康プラザとしま,35.735366,139.714977
劇場通り中央,35.735039,139.709671
劇場通り中央,35.735039,139.709671
宇田川町,35.662531,139.696638
市谷田町,35.695267,139.73666
市谷田町,35.695267,139.73666
塩浜橋,35.663392,139.805199
塩浜橋,35.663392,139.805199
亀沢四丁目,35.698062,139.805107
亀沢四丁目,35.698062,139.805107
高松小学校,35.739799,139.698503
永田町,35.677966,139.741701
永田町,35.677966,139.741701
国会議事堂前,35.677878,139.744648
国会議事堂前,35.677878,139.744648
高橋,35.685889,139.798288
高橋,35.685889,139.798288
吾妻橋一丁目,35.708393,139.800894
吾妻橋一丁目,35.708393,139.800894
牛込神楽坂駅前,35.701838,139.737607
牛込神楽坂駅前,35.701838,139.737607
九段三丁目,35.693332,139.743222
九段三丁目,35.693332,139.743222
自由の広場前,35.694529,139.851061
亀戸中学校入口,35.696225,139.843082
亀戸中学校入口,35.696225,139.843082
菊川三丁目,35.688409,139.807871
菊川三丁目,35.688409,139.807871
菊川一丁目,35.688135,139.802596
菊川一丁目,35.688135,139.802596
蛎殻町,35.682315,139.780833
蛎殻町,35.682315,139.780833
鷺宮区民活動センター分室,35.717601,139.638814
江東公会堂前,35.689002,139.818814
江東公会堂前,35.689002,139.818814
押上三丁目,35.709443,139.817973
押上三丁目,35.709443,139.817973
押上一丁目,35.711708,139.815883
押上一丁目,35.711708,139.815883
宮下公園前,35.661223,139.702439
寺院通一番,35.675803,139.59873
烏山北小学校,35.673656,139.600213
烏山中学,35.671465,139.600218
宮前五丁目,35.696437,139.600877
宮前五丁目,35.696437,139.600877
高円寺南五丁目,35.700436,139.659446
高円寺南五丁目,35.700436,139.659446
猿楽トレーニングジム入口・代官山Tサイト,35.649852,139.700106
宮前ふれあいの家,35.695549,139.602566
恵比寿駅東口,35.647295,139.711226
恵比寿1丁目,35.647069,139.712911
郷土博物館・文学館,35.656331,139.712153
恵比寿社会教育館,35.6454,139.719345
加計塚小学校,35.643642,139.714548
恵比寿南1丁目,35.643557,139.710133
恵比寿駅入口,35.645442,139.708032
恵比寿公園,35.647209,139.707136
恵比寿西2丁目,35.65176,139.706458
寺院通二番,35.677388,139.597029
寺院通三番,35.678147,139.596272
寺院通四番,35.678995,139.595254
甲田医院前,35.702852,139.601745
押上二丁目,35.715035,139.814509
押上二丁目,35.715035,139.814509
向島三丁目,35.712853,139.811876
向島三丁目,35.712853,139.811876
久我山駅入口,35.689684,139.600464
荻窪一丁目北,35.695567,139.625944
久我山病院,35.68128,139.59816
烏山都営住宅前,35.679945,139.598365
烏山北住宅,35.676243,139.600628
烏山バイパス,35.673044,139.601382
国学院前,35.682378,139.594456
寺院通五番,35.680772,139.59379
銀座六丁目,35.669948,139.763516
銀座六丁目,35.669948,139.763516
桜台駅通,35.735611,139.659556
浦安橋,35.666496,139.884347
浦安橋,35.666496,139.884347
宇喜田第一住宅,35.672344,139.866028
宇喜田第一住宅,35.672344,139.866028
葛西郵便局,35.670047,139.866619
葛西郵便局,35.670047,139.866619
葛西区民館前,35.666248,139.869824
葛西区民館前,35.666248,139.869824
梶原,35.751539,139.747425
梶原,35.751539,139.747425
葛西水再生センター前,35.650626,139.853745
行船公園前,35.67066,139.859271
行船公園前,35.67066,139.859271
横川橋,35.704008,139.809601
横川橋,35.704008,139.809601
金町二丁目,35.766447,139.870545
金町二丁目,35.766447,139.870545
亀有警察署前,35.76216,139.862991
亀有警察署前,35.76216,139.862991
亀有新道入口,35.752366,139.85024
亀有新道入口,35.752366,139.85024
向島消防署前,35.723297,139.81942
向島消防署前,35.723297,139.81942
向島五丁目,35.717218,139.812383
向島五丁目,35.717218,139.812383
向島二丁目,35.715523,139.809865
向島二丁目,35.715523,139.809865
銀杏並木通り,35.692958,139.872324
銀杏並木通り,35.692958,139.872324
駒込千駄木町,35.724596,139.757077
駒込千駄木町,35.724596,139.757077
荒川五丁目,35.739359,139.778356
荒川五丁目,35.739359,139.778356
京成中組,35.742902,139.797864
京成中組,35.742902,139.797864
三ノ輪橋,35.732386,139.792858
三ノ輪橋,35.732386,139.792858
橘通り,35.715816,139.824871
橘通り,35.715816,139.824871
下谷警察署前,35.724749,139.788821
下谷警察署前,35.724749,139.788821
江北六丁目団地入口,35.779832,139.770009
江北六丁目団地入口,35.779832,139.770009
御徒町駅前,35.707817,139.775583
御徒町駅前,35.707817,139.775583
元浅草三丁目,35.706838,139.784574
元浅草三丁目,35.706838,139.784574
三園一丁目西,35.788076,139.638856
三園一丁目西,35.788076,139.638856
三園一丁目中央,35.788589,139.642643
三園一丁目中央,35.788589,139.642643
後楽園,35.703468,139.755341
後楽園,35.703468,139.755341
笹目橋,35.793581,139.64355
笹目橋,35.793581,139.64355
恵比寿橋,35.648551,139.715633
恵比寿橋,35.648551,139.715633
広尾病院前,35.647926,139.72233
広尾病院前,35.647926,139.72233
広尾五丁目,35.648207,139.721091
広尾五丁目,35.648207,139.721091
三園南,35.786731,139.64378
区立美術館,35.784771,139.644604
区立美術館,35.784771,139.644604
雑司ヶ谷霊園入口,35.722834,139.723207
雑司ヶ谷霊園入口,35.722834,139.723207
護国寺前,35.719992,139.726194
護国寺前,35.719992,139.726194
四谷駅,35.686398,139.730174
警視庁前,35.67764,139.752058
警視庁前,35.67764,139.752058
桜新道,35.591799,139.733481
桜新道,35.591799,139.733481
熊の木ポンプ東,35.773882,139.761497
江北区民事務所入口,35.776087,139.761087
江北コミュニティセンター入口,35.766716,139.762838
江北三丁目,35.772154,139.761755
港南大橋,35.631256,139.754061
港南大橋東詰,35.629772,139.756094
港南五丁目,35.626167,139.754164
京浜運河,35.627922,139.754293
港南大橋下,35.630269,139.754457
高輪消防署港南出張所入口,35.632226,139.755306
左門町,35.683936,139.719758
左門町,35.683936,139.719758
権田原,35.677731,139.720492
権田原,35.677731,139.720492
御殿山小学校前,35.624106,139.732512
御殿山小学校前,35.624106,139.732512
御殿山,35.623229,139.73487
御殿山,35.623229,139.73487
江南センター,35.756338,139.757353
宮城第三都住,35.75758,139.75344
宮城一丁目,35.759043,139.752329
宮城交差点,35.761446,139.754963
高輪台駅前,35.631312,139.729493
高輪台駅前,35.631312,139.729493
鮫洲運転免許試験場前,35.60422,139.745982
鮫洲運転免許試験場前,35.60422,139.745982
鹿浜五丁目団地,35.785713,139.756276
花畑区民事務所,35.803368,139.806579
花畑区民事務所,35.803368,139.806579
元渕江公園,35.791024,139.805206
元渕江公園,35.791024,139.805206
音羽一丁目,35.713521,139.730107
音羽一丁目,35.713521,139.730107
音羽二丁目,35.717834,139.727949
音羽二丁目,35.717834,139.727949
根津神社入口,35.720326,139.762908
根津神社入口,35.720326,139.762908
鹿浜六丁目,35.78476,139.761207
鹿浜六丁目,35.78476,139.761207
空港警察署前,35.555007,139.783531
向原,35.728914,139.725458
向原,35.728914,139.725458
皿沼不動,35.790477,139.764595
四号公園入口,35.809557,139.756068
四号公園入口,35.809557,139.756068
隅田川貨物駅前,35.730305,139.800611
隅田川貨物駅前,35.730305,139.800611
蒲田一丁目,35.565921,139.722457
蒲田一丁目,35.565921,139.722457
建材埠頭,35.57852,139.769517
建材埠頭,35.57852,139.769517
京急開発本社前,35.587259,139.740603
元八幡,35.669859,139.837608
元八幡,35.669859,139.837608
学校通り,35.671857,139.83197
学校通り,35.671857,139.83197
簡野学園,35.550003,139.728763
簡野学園,35.550003,139.728763
蒲田警察署前,35.558212,139.72054
雑色駅通り,35.550673,139.714234
雑色駅通り,35.550673,139.714234
蒲田本町,35.556346,139.717112
蒲田本町,35.556346,139.717112
志村小学校,35.774123,139.685423
志村小学校,35.774123,139.685423
環八高速下,35.777253,139.675476
環八高速下,35.777253,139.675476
永代橋,35.677174,139.785294
永代橋,35.677174,139.785294
佐賀一丁目,35.675561,139.789588
佐賀一丁目,35.675561,139.789588
永代二丁目,35.673616,139.792441
